Index,Manufacturer Part Number,Manufacturer Name,Description,Availability,Stock Status,Attrition %,Requested Quantity 1,Pack Quantity 1,Pack Type 1,Digi-Key Part Number 1,Unit Price 1,Extended Price 1,Minimum Order Quantity 1,Customer Reference,Requested Part Number,Datasheet
1,TBP02R2-381-02BE,CUI Devices,"TERMINAL BLOCK, PLUGGABLE, 3.81,","16,501",In Stock,,1,1,Bag,102-6492-ND,0.96000,$0.96,1,,TBP02R2-381-02BE,https://www.cuidevices.com/product/resource/tbp02r2-381.pdf
2,PJ-002A,CUI Devices,CONN PWR JACK 2X5.5MM SOLDER,"80,252",In Stock,,1,1,Bag,CP-002A-ND,1.14000,$1.14,1,,PJ-002A,https://www.cuidevices.com/product/resource/pj-002a.pdf
3,TBP02R2-381-04BE,CUI Devices,"TERMINAL BLOCK, PLUGGABLE, 3.81,","1,261",In Stock,,5,5,Bag,102-6494-ND,1.33000,$6.65,1,,TBP02R2-381-04BE,https://www.cuidevices.com/product/resource/tbp02r2-381.pdf
4,TBP02R2-381-03BE,CUI Devices,"TERMINAL BLOCK, PLUGGABLE, 3.81,","7,207",In Stock,,2,2,Bag,102-6493-ND,1.10000,$2.20,1,,TBP02R2-381-03BE,https://www.cuidevices.com/product/resource/tbp02r2-381.pdf
5,DMP6023LE-13,Diodes Incorporated,MOSFET P-CH 60V 7A/18.2A SOT223,"12,408",In Stock,,1,1,Cut Tape (CT),DMP6023LE-13DICT-ND,1.30000,$1.30,1,,DMP6023LE-13,https://www.diodes.com/assets/Datasheets/DMP6023LE.pdf
6,STM32L432KCU6,STMicroelectronics,IC MCU 32BIT 256KB FLSH 32UFQFPN,"15,711",In Stock,,1,1,Tray,497-16578-ND,10.76000,$10.76,1,,STM32L432KCU6,https://www.st.com/content/ccc/resource/technical/document/datasheet/24/01/9f/59/f0/83/47/fc/DM00257205.pdf/files/DM00257205.pdf/jcr:content/translations/en.DM00257205.pdf
7,ADP122AUJZ-3.3-R7,Analog Devices Inc.,IC REG LINEAR 3.3V 300MA TSOT5,"51,764",In Stock,,1,1,Cut Tape (CT),505-ADP122AUJZ-3.3-R7CT-ND,2.55000,$2.55,1,,ADP122AUJZ-3.3-R7,https://www.analog.com/media/en/technical-documentation/data-sheets/ADP122_123.pdf
8,ITS716GFUMA1,Infineon Technologies,IC PWR SWITCH N-CHAN 1:1 DSO-20,"2,884",In Stock,,1,1,Cut Tape (CT),ITS716GFUMA1CT-ND,7.19000,$7.19,1,,ITS716G,https://www.infineon.com/dgdl/Infineon-ITS716G-DS-v01_01-en.pdf?folderId=db3a304412b407950112b408e8c90004&fileId=db3a304412b407950112b428c2cf3e6d&ack=t
9,ECS-.327-12.5-34R-C-TR,ECS Inc.,CRYSTAL 32.7680KHZ 12.5PF SMD,"18,439",In Stock,,1,1,Cut Tape (CT),XC2127CT-ND,1.28000,$1.28,1,,ECS-.327-12.5-34R-C-TR,https://ecsxtal.com/store/pdf/ECX_34R.pdf
10,CL10B104KC8NNNC,Samsung Electro-Mechanics,CAP CER 0.1UF 100V X7R 0603,"1,657,410",In Stock,,5,5,Cut Tape (CT),1276-6807-1-ND,0.16000,$0.80,1,,1276-6807-1-ND,http://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/1296/CL10B104KC8NNNC_Spec.pdf
11,KAM21KR72A105KU,KYOCERA AVX,CAP CER 1UF 100V X7R 0805,"53,949",In Stock,,5,5,Cut Tape (CT),478-KAM21KR72A105KUCT-ND,0.52000,$2.60,1,,478-KAM21KR72A105KUCT-ND,https://datasheets.kyocera-avx.com/AutoMLCC.pdf
12,C0805C100J3HAC7800,KEMET,CAP CER 10PF 25V X8R 0805,"22,533",In Stock,,2,2,Cut Tape (CT),399-C0805C100J3HAC7800CT-ND,0.16000,$0.32,1,,399-C0805C100J3HAC7800CT-ND,https://connect.kemet.com:7667/gateway/IntelliData-ComponentDocumentation/1.0/download/datasheet/C0805C100J3HAC7800
13,CL21A475KAQNNNE,Samsung Electro-Mechanics,CAP CER 4.7UF 25V X5R 0805,"3,934,922",In Stock,,1,1,Cut Tape (CT),1276-1244-1-ND,0.16000,$0.16,1,,1276-1244-1-ND,http://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/41/CL21A475KAQNNNE_Spec.pdf
14,C0805C103K5RECAUTO,KEMET,CAP CER 0805 10NF 50V X7R 10%,"27,445",In Stock,,1,1,Cut Tape (CT),399-17885-1-ND,0.39000,$0.39,1,,399-17885-1-ND,https://connect.kemet.com:7667/gateway/IntelliData-ComponentDocumentation/1.0/download/datasheet/C0805C103K5RECAUTO
15,MMSZ4700T1G,onsemi,DIODE ZENER 13V 500MW SOD123,"69,197",In Stock,,1,1,Cut Tape (CT),MMSZ4700T1GOSCT-ND,0.42000,$0.42,1,,MMSZ4700T1GOSCT-ND,https://www.onsemi.com/pdf/datasheet/mmsz4678t1-d.pdf
16,0154010.DRL,Littelfuse Inc.,FUSE BRD MNT 10A 125VAC/VDC 2SMD,"4,180",In Stock,,1,1,Cut Tape (CT),F11011CT-ND,5.37000,$5.37,1,,F11011CT-ND,https://www.littelfuse.com/~/media/electronics/datasheets/fuses/littelfuse_fuse_154_154t_154l_154tl_datasheet.pdf.pdf
17,2508051027Y1,Fair-Rite Products Corp.,FERRITE BEAD 1K OHM 0805 1LN,"134,499",In Stock,,1,1,Cut Tape (CT),1934-1009-1-ND,0.16000,$0.16,1,,1934-1009-1-ND,https://www.fair-rite.com/wp-content/themes/fair-rite/print_product.php?pid=19184
18,GRPB052VWVN-RC,Sullins Connector Solutions,CONN HEADER VERT 10POS 1.27MM,"31,971",In Stock,,1,,,,,,,,S9015E-05-ND,https://s3.amazonaws.com/catalogspreads-pdf/PAGE94-95%20.050%20MALE%20HDR%20ST%20RA%20SMT.pdf
19,VLS6045EX-470M,TDK Corporation,FIXED IND 47UH 1.3A 299 MOHM SMD,"124,341",In Stock,,1,1,Cut Tape (CT),445-173054-1-ND,0.67000,$0.67,1,,445-173054-1-ND,https://product.tdk.com/en/system/files?file=dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_power_vls6045ex_en.pdf
20,PKMCS0909E4000-R1,Murata Electronics,BUZZER PIEZO 1.5V 9X9MM SMD,"46,358",In Stock,,1,1,Cut Tape (CT),490-9647-1-ND,1.43000,$1.43,1,,490-9647-1-ND,https://www.murata.com/~/media/webrenewal/products/sound/sounder/vppt-buzj083-d.ashx
21,BC847BLT3G,onsemi,TRANS NPN 45V 0.1A SOT23-3,"178,666",In Stock,,1,1,Cut Tape (CT),BC847BLT3GOSCT-ND,0.18000,$0.18,1,,BC847BLT3GOSCT-ND,https://www.onsemi.com/pdf/datasheet/bc846alt1-d.pdf
22,RNCP0805FTD10K0,Stackpole Electronics Inc,RES 10K OHM 1% 1/4W 0805,"205,753",In Stock,,4,4,Cut Tape (CT),RNCP0805FTD10K0CT-ND,0.16000,$0.64,1,,RNCP0805FTD10K0CT-ND,https://www.seielect.com/catalog/sei-rncp.pdf
23,RC0805FR-07120RL,YAGEO,RES 120 OHM 1% 1/8W 0805,"208,422",In Stock,,1,1,Cut Tape (CT),311-120CRCT-ND,0.16000,$0.16,1,,311-120CRCT-ND,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
24,RNCP0805FTD1K00,Stackpole Electronics Inc,RES 1K OHM 1% 1/4W 0805,"400,904",In Stock,,1,,,,,,,,RNCP0805FTD1K00CT-ND,https://www.seielect.com/catalog/sei-rncp.pdf
25,TL3301AF160QG,E-Switch,SWITCH TACTILE SPST-NO 0.05A 12V,"11,208",In Stock,,1,1,Cut Tape (CT),EG2526CT-ND,0.68000,$0.68,1,,EG2526CT-ND,https://eswitch.wpengine.com/wp-content/uploads/2022/06/TL3301-1.pdf
26,MAX15062BATA+T,Analog Devices Inc./Maxim Integrated,IC REG BUCK 5V 300MA 8TDFN,"21,937",In Stock,,1,1,Cut Tape (CT),MAX15062BATA+TCT-ND,5.21000,$5.21,1,,MAX15062BATA+TCT-ND,https://datasheets.maximintegrated.com/en/ds/MAX15062.pdf
27,MCP2562FDT-E/SN,Microchip Technology,IC TRANSCEIVER 1/1 8SOIC,"6,739",In Stock,,1,1,Cut Tape (CT),MCP2562FDT-E/SNCT-ND,2.09000,$2.09,1,,MCP2562FDT-E/SNCT-ND,https://ww1.microchip.com/downloads/en/DeviceDoc/20005284A.pdf
28,PPPC051LFBN-RC,Sullins Connector Solutions,CONN HDR 5POS 0.1 GOLD PCB,"18,967",In Stock,,2,2,Tray,S7038-ND,0.79000,$1.58,1,,S7038-ND,http://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/937/Female_Headers.100_DS.pdf
